t_ms,t_sec_rel,q_w,q_x,q_y,q_z,roll_deg,pitch_deg,yaw_deg
,0.635,0.9764356606079391,0.2145686100398061,-0.006112322102770208,-0.022278954132436468,24.790301778455127,-0.1361263114278044,-2.644054873394903
,0.64,0.9758131290785338,0.21733382723815162,-0.0058220260037271515,-0.02282210921869291,25.113993993021186,-0.0826426669208835,-2.6979621499068633
,0.645,0.975179950246014,0.22010839985746242,-0.005530997755863497,-0.023361614117897875,25.43894686234106,-0.028834745665331892,-2.751162786668462
,0.65,0.9745360396789734,0.22289228374621547,-0.005239217781931659,-0.02389744359240688,25.76516111181163,0.0252959992170871,-2.8036505228385225
,0.655,0.9738813131122745,0.2256854325301765,-0.004946666622625138,-0.02442957231929115,26.092637302076476,0.07974800552321507,-2.855419076238327
,0.66,0.9732124611974389,0.22851958792315974,-0.0048747551059799684,-0.0247495468263429,26.42578644989269,0.10445986985925625,-2.8889984962879534
,0.665,0.9725326215758953,0.23136324979317177,-0.004802209992532258,-0.0250656217765823,26.760270521588538,0.12936914876155467,-2.922005303207505
,0.67,0.9718417073056068,0.234216355183793,-0.0047290117486844824,-0.025377772826296975,27.096087944166566,0.154474032211842,-2.9544348209441
,0.675,0.9711396316849382,0.2370788393925061,-0.004655140990471041,-0.025685975658000043,27.43323702206573,0.17977260886652005,-2.9862823765875524
,0.68,0.9704263082768214,0.2399506359600156,-0.00458057848860893,-0.02599020598828253,27.77171593595146,0.20526286518309222,-3.0175433023483897
,0.685,0.9697016509332745,0.24283167665995703,-0.004505305173558913,-0.026290439575805364,28.111522741510562,0.23094268458220996,-3.0482129375744327
,0.69,0.9690026543328177,0.24556348834318154,-0.004302037066856392,-0.02671931072758605,28.4335159634667,0.2741730180669189,-3.089489033465024
,0.695,0.968293117541473,0.2483039477301336,-0.00409805500452446,-0.027143949760971075,28.75673837526784,0.31763011144070563,-3.130053184115092
,0.7,0.967572966418606,0.2510529907277178,-0.0038933405145632092,-0.02756433206527607,29.081188353860576,0.3613115250771244,-3.1699001024492404
,0.705,0.9668421271399911,0.25381055165080546,-0.003687875300643037,-0.027980433054159797,29.406864167503468,0.4052147092662316,-3.209024509728012
,0.71,0.9661005262194189,0.2565765632168245,-0.003481641246935957,-0.02839222817308455,29.733763975022423,0.44933700342372074,-3.24742113761897
,0.715,0.9653480905305707,0.259350956540621,-0.003274620422941425,-0.028799692906899942,30.06188582505489,0.49367563533835557,-3.2850847303027395
,0.72,0.9645383618332862,0.26230575237638726,-0.0030688416400583432,-0.02918943358831374,30.411668569380332,0.5381918524074067,-3.3204965170050156
,0.725,0.9637166333664873,0.26526847476278287,-0.0028622408928235497,-0.029575233673835185,30.762666087191285,0.5829359391542046,-3.3552010658416833
,0.73,0.9628828326221707,0.26823902894978835,-0.002654802240279462,-0.029957069526988848,31.11487429378158,0.6279046103338775,-3.3891931311499444
,0.735,0.9620368878346505,0.2712173184175624,-0.0024465099580494786,-0.03033491758406191,31.468288974233186,0.6730944634262527,-3.4224674930513213
,0.74,0.9611787280083228,0.2742032448774066,-0.002237348542978791,-0.030708754362572695,31.822905782771546,0.7185019782402362,-3.455018959893892
,0.745,0.960308282945578,0.2771967082733074,-0.0020273027177411538,-0.031078556469847057,32.17872024212999,0.7641235165715109,-3.4868423707237497
,0.75,0.959431172172817,0.28019638105549666,-0.0018720387043262036,-0.03127793755327368,32.53587752284757,0.7984852331127963,-3.501407784090818
